AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,GRID_FULL,ELD_MIN,ELD_Max,ELD_Mean,ELD_AVG,ELD_STD,ELD_MEDIAN,ELD_RMSE,ELD_MAE,ELD_AB_MD,ELD_AB_MN,ELD_N,ELD_LE90
norway,N59TE010B,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-48.32,94.83,3.41,4.00,4.96,1.48,6.02,3.98,1.93,3.41,144758,10.87
norway,N59TE010C,COP,md_dtm1m_1.5x1sec_point,DTM,100.00,-48.32,94.83,1.76,2.97,4.28,0.00,4.63,2.20,0.00,1.76,144760,8.34
norway,N59QE009G,COP,md_dsm1m_1sec_point,DSM,76.65,-40.76,77.01,-1.40,4.59,6.46,-1.15,6.61,4.71,3.46,1.40,110961,10.59
norway,N59RE009G,COP,md_dsm1m_1sec_point,DSM,100.00,-40.76,77.01,-1.86,3.96,5.41,-1.94,5.72,4.30,3.43,1.86,144759,9.16
norway,N59RE010A,COP,md_dsm1m_1sec_point,DSM,100.00,-49.30,77.01,-1.23,3.41,4.65,-1.21,4.80,3.59,2.75,1.23,144757,7.9
norway,N59RE010B,COP,md_dsm1m_1sec_point,DSM,100.00,-49.30,77.01,-0.73,2.67,3.86,-0.58,3.93,2.74,1.84,0.73,144760,6.46
norway,N59RE010C,COP,md_dsm1m_1sec_point,DSM,100.00,-49.30,77.01,-0.23,2.00,3.20,-0.16,3.21,2.00,0.98,0.23,144761,5.2
norway,N59TE009G,COP,md_dsm1m_1sec_point,DSM,93.44,-49.30,77.01,-1.76,3.85,5.17,-1.50,5.46,4.07,3.11,1.76,135264,8.91
norway,N59TE010A,COP,md_dsm1m_1sec_point,DSM,99.12,-49.30,77.01,-1.49,3.41,4.66,-1.21,4.89,3.59,2.61,1.49,143477,8.11
norway,N59TE010B,COP,md_dsm1m_1sec_point,DSM,100.00,-49.30,77.01,-0.59,2.51,3.78,-0.43,3.83,2.56,1.53,0.59,144758,6.35
norway,N59TE010C,COP,md_dsm1m_1sec_point,DSM,100.00,-501.61,77.01,-0.72,2.39,6.04,0.13,6.08,2.19,0.67,0.72,105705,5.47
norway,N59QE009G,SRTM,md_dtm1m_1sec_point,DTM,76.65,-47.99,74.77,5.38,5.05,6.63,4.71,8.54,6.53,5.27,5.38,166293,13.82
norway,N59RE009G,SRTM,md_dtm1m_1sec_point,DTM,100.00,-47.99,74.77,5.78,4.52,5.79,5.13,8.18,6.44,5.34,5.78,216958,13.33
norway,N59RE010A,SRTM,md_dtm1m_1sec_point,DTM,100.00,-47.99,74.77,6.17,4.03,5.09,5.74,8.00,6.57,5.82,6.17,216958,12.87
norway,N59RE010B,SRTM,md_dtm1m_1sec_point,DTM,100.00,-47.99,74.77,6.06,3.68,4.52,5.30,7.56,6.16,5.31,6.06,216958,12.36
norway,N59RE010C,SRTM,md_dtm1m_1sec_point,DTM,100.00,-47.99,74.77,4.37,3.40,4.24,3.10,6.09,4.46,3.13,4.37,216961,10.73
norway,N59TE009G,SRTM,md_dtm1m_1sec_point,DTM,93.44,-47.99,93.58,5.82,4.36,5.61,5.48,8.08,6.56,5.71,5.82,202731,13.07
norway,N59TE010A,SRTM,md_dtm1m_1sec_point,DTM,99.12,-47.99,93.58,5.93,3.76,4.75,5.56,7.60,6.30,5.65,5.93,215047,12.17
norway,N59TE010B,SRTM,md_dtm1m_1sec_point,DTM,100.00,-47.99,93.58,5.19,3.34,4.16,4.18,6.65,5.30,4.21,5.19,216957,11.24
norway,N59TE010C,SRTM,md_dtm1m_1sec_point,DTM,100.00,-47.99,93.58,2.45,3.07,4.05,0.09,4.74,2.67,0.09,2.45,216960,8.63
norway,N59QE009G,SRTM,md_dsm1m_1sec_point,DSM,76.65,-52.91,65.06,-0.39,5.33,7.01,-0.37,7.02,5.34,4.22,0.39,166295,11.51
norway,N59RE009G,SRTM,md_dsm1m_1sec_point,DSM,100.00,-52.91,65.06,-0.16,4.73,6.11,-0.47,6.12,4.74,3.82,0.16,216959,10.01
norway,N59RE010A,SRTM,md_dsm1m_1sec_point,DSM,100.00,-52.91,65.06,0.47,4.32,5.51,0.34,5.53,4.33,3.51,0.47,216956,9.12
norway,N59RE010B,SRTM,md_dsm1m_1sec_point,DSM,100.00,-52.91,65.06,1.28,3.60,4.81,1.38,4.97,3.81,2.89,1.28,216960,8.22
norway,N59RE010C,SRTM,md_dsm1m_1sec_point,DSM,100.00,-52.91,65.06,0.96,2.81,4.06,0.89,4.17,3.01,2.13,0.96,216961,6.93
norway,N59TE009G,SRTM,md_dsm1m_1sec_point,DSM,93.44,-52.91,88.03,0.54,4.64,6.06,0.41,6.08,4.65,3.63,0.54,202732,10.13
norway,N59TE010A,SRTM,md_dsm1m_1sec_point,DSM,99.12,-52.91,88.03,0.96,4.24,5.46,1.05,5.55,4.33,3.45,0.96,215043,9.25
norway,N59TE010B,SRTM,md_dsm1m_1sec_point,DSM,100.00,-52.91,88.03,1.21,3.36,4.53,1.59,4.69,3.64,2.85,1.21,216957,7.73
norway,N59TE010C,SRTM,md_dsm1m_1sec_point,DSM,100.00,-501.56,88.03,0.24,2.68,6.33,0.35,6.34,2.79,1.43,0.24,158361,6.61
norway,N59QE009G,ALOS,md_dtm1m_1sec_area,DTM,76.65,-42.21,40.23,6.29,4.19,5.31,5.35,8.23,6.52,5.40,6.29,167210,13.74
norway,N59RE009G,ALOS,md_dtm1m_1sec_area,DTM,100.00,-42.21,40.23,5.06,3.52,4.52,4.03,6.79,5.25,4.06,5.06,216960,11.57
