AREA,DEMIX_TILE,DEM,REF_DEM,REF_TYPE,REF_SLOPE,GRID_FULL,RUFD_MIN,RUFD_Max,RUFD_Mean,RUFD_AVG,RUFD_STD,RUFD_MED,RUFD_RMSE,RUFD_MAE,RUFD_AB_MD,RUFD_AB_MN,RUFD_N,RUFD_LE90,SLOPE_PC
brazil,S08PW038D,NASA,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,FLAT,99.45,-19.67,16.78,0.30,1.49,2.08,0.73,2.10,1.56,0.94,0.30,80144,2.88,62.19
brazil,S08PW038D,NASA,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,STEEP,99.45,-20.86,53.58,-1.73,2.45,3.58,-1.54,3.98,2.80,0.55,1.73,47296,5.93,36.7
brazil,S08PW038D,NASA,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,ALL,99.45,-140.06,80.77,-0.61,1.98,2.83,-0.09,2.89,1.94,1.32,0.61,128877,4.3,100
brazil,S08PW038D,NASA,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,FLAT,99.45,-61.53,17.19,0.04,1.41,2.01,0.41,2.01,1.42,0.80,0.04,79914,2.85,62.01
brazil,S08PW038D,NASA,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,STEEP,99.45,-140.06,80.77,-1.74,2.44,3.56,-1.58,3.96,2.82,0.47,1.74,47526,5.89,36.88
brazil,S08PW038D,ASTER,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,ALL,99.45,-31.58,24.54,1.06,2.47,3.36,1.69,3.53,2.77,2.46,1.06,128877,5.1,100
brazil,S08PW038D,ASTER,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,FLAT,99.45,-29.00,21.75,1.79,1.84,2.56,2.28,3.13,2.63,1.60,1.79,80144,4.51,62.19
brazil,S08PW038D,ASTER,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,STEEP,99.45,-31.58,24.54,-0.21,3.01,4.10,-0.01,4.10,3.00,0.96,0.21,47296,6.33,36.7
brazil,S08PW038D,ASTER,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,ALL,99.45,-90.98,98.60,0.89,2.38,3.28,1.47,3.39,2.63,2.24,0.89,128877,4.97,100
brazil,S08PW038D,ASTER,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,FLAT,99.45,-81.44,21.84,1.53,1.76,2.48,1.94,2.91,2.40,1.46,1.53,79914,4.24,62.01
brazil,S08PW038D,ASTER,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,STEEP,99.45,-90.98,98.60,-0.22,2.99,4.06,-0.05,4.06,2.99,0.90,0.22,47526,6.31,36.88
brazil,S08PW038D,FABDEM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,ALL,99.45,-17.66,18.41,-0.21,1.24,1.82,0.01,1.83,1.22,0.80,0.21,128877,2.8,100
brazil,S08PW038D,FABDEM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,FLAT,99.45,-17.31,18.41,0.13,0.93,1.49,0.24,1.49,0.95,0.46,0.13,80144,2.03,62.19
brazil,S08PW038D,FABDEM,md_pe3d_mdt_1m_elev_S08PW038D_1m_1sec_point,DTM,STEEP,99.45,-17.66,11.70,-0.79,1.54,2.14,-0.72,2.28,1.67,0.27,0.79,47296,3.56,36.7
brazil,S08PW038D,FABDEM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,ALL,99.45,-71.02,71.19,-0.37,1.19,1.79,-0.23,1.83,1.21,0.74,0.37,128877,2.83,100
brazil,S08PW038D,FABDEM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,FLAT,99.45,-62.17,19.38,-0.13,0.92,1.48,-0.08,1.49,0.92,0.41,0.13,79914,2.07,62.01
brazil,S08PW038D,FABDEM,md_pe3d_mds_1m_elev_S08PW038D_1m_1sec_point,DSM,STEEP,99.45,-71.02,71.19,-0.80,1.54,2.15,-0.75,2.29,1.68,0.24,0.80,47526,3.59,36.88
brazil,S08QW038C,COP,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-23.28,16.23,0.05,0.65,1.20,0.10,1.21,0.66,0.38,0.05,128518,1.4,100
brazil,S08QW038C,COP,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,FLAT,99.11,-10.74,14.58,0.15,0.47,0.72,0.12,0.73,0.48,0.32,0.15,110427,1.01,85.92
brazil,S08QW038C,COP,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,STEEP,99.11,-23.28,16.23,-0.63,1.77,2.64,-0.43,2.71,1.80,0.04,0.63,16656,3.86,12.96
brazil,S08QW038C,COP,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,ALL,99.11,-59.89,102.01,-0.31,0.63,1.11,-0.23,1.16,0.66,0.41,0.31,128518,1.4,100
brazil,S08QW038C,COP,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,FLAT,99.11,-57.40,16.06,-0.26,0.46,0.68,-0.22,0.73,0.50,0.33,0.26,109909,1.09,85.52
brazil,S08QW038C,COP,md_pe3d_mds_1m_elev_S08QW038C_1m_1sec_point,DSM,STEEP,99.11,-59.89,102.01,-0.67,1.58,2.42,-0.49,2.51,1.64,0.05,0.67,17183,3.51,13.37
brazil,S08QW038C,SRTM,md_pe3d_mdt_1m_elev_S08QW038C_1m_1sec_point,DTM,ALL,99.11,-21.26,38.91,0.44,1.01,1.66,0.51,1.72,1.11,0.82,0.44,128518,2.2,100
