AREA,REF_TYPE,DEMIX_TILE,CRITERION,COP,ALOS,ASTER,SRTM,FABDEM,NASA
brazil,DSM,S08PW038C,S_LE90,3.95,3.17,8.83,5.39,4.33,5.33
brazil,DSM,S08PW038D,S_LE90,10.76,5.14,14.14,11.64,10.75,11.61
brazil,DSM,S08QW038C,S_LE90,5.21,3.49,8.34,6.38,5.58,6.3
brazil,DSM,S08QW038D,S_LE90,3.37,2.59,7.99,4.52,3.62,4.48
la_palma,DTM,N28UW018B,R_RMSE,2.3,2.59,4.31,4.35,2.31,3.73
la_palma,DTM,N28VW018B,R_RMSE,5.78,4.94,6.68,6.14,5.88,6.17
la_palma,DTM,N28XW018A,R_RMSE,7.39,5.06,8.53,7.85,7.67,7.78
la_palma,DTM,N28XW018B,R_RMSE,12.23,8.56,12.58,12.29,12.23,11.86
pyrenees,DTM,N43PW002B,R_RMSE,3.1,3.58,6.71,3.61,3.13,3.6
pyrenees,DTM,N43PW002C,R_RMSE,3.1,3.16,7.22,3.57,3.08,3.56
norway,DTM,N59QE009G,R_RMSE,3.67,3.65,6.13,6.48,5.28,6.37
norway,DTM,N59RE009G,R_RMSE,2.76,2.92,4.72,5,4.17,4.94
norway,DTM,N59TE009G,R_RMSE,2.44,2.92,4.97,3.96,3.22,3.78
brazil,DTM,S08PW038C,R_RMSE,0.71,0.83,2.33,1.23,0.76,1.2
brazil,DTM,S08PW038D,R_RMSE,1.62,1.12,3.12,2.61,1.66,2.57
brazil,DTM,S08QW038C,R_RMSE,1.07,0.9,2.02,1.46,1.1,1.57
brazil,DTM,S08QW038D,R_RMSE,0.51,0.65,2.12,0.91,0.57,0.89
la_palma,DSM,N28UW018B,R_RMSE,2.24,2.56,4.11,4.22,2.55,3.64
la_palma,DSM,N28VW018B,R_RMSE,6.14,5.27,6.93,6.46,6.3,6.46
la_palma,DSM,N28XW018A,R_RMSE,7.5,5.16,8.61,7.98,7.92,7.99
la_palma,DSM,N28XW018B,R_RMSE,12.78,8.84,13.07,12.77,12.8,12.3
pyrenees,DSM,N43PW002B,R_RMSE,2.94,3.1,6.03,3.98,3.56,4
pyrenees,DSM,N43PW002C,R_RMSE,2.75,2.81,6.49,3.95,3.56,3.97
norway,DSM,N59QE009G,R_RMSE,3.95,2.97,5.85,6.14,4.89,6.06
norway,DSM,N59RE009G,R_RMSE,3.25,2.46,4.8,5.32,4.35,5.28
norway,DSM,N59TE009G,R_RMSE,2.79,2.32,4.72,4.61,3.67,4.47
brazil,DSM,S08PW038C,R_RMSE,0.7,0.76,2.13,1.14,0.83,1.12
brazil,DSM,S08PW038D,R_RMSE,1.6,1.06,3.04,2.59,1.67,2.54
brazil,DSM,S08QW038C,R_RMSE,1.02,0.74,1.87,1.41,1.13,1.54
brazil,DSM,S08QW038D,R_RMSE,0.46,0.62,2.07,0.88,0.59,0.86
la_palma,DTM,N28UW018B,R_MAE,1.38,1.3,2.8,2.58,1.48,2.41
la_palma,DTM,N28VW018B,R_MAE,2.7,2.53,4.04,3.52,2.94,3.54
la_palma,DTM,N28XW018A,R_MAE,3.72,2.25,5.1,4.61,4.09,4.71
la_palma,DTM,N28XW018B,R_MAE,7.05,4.21,8.11,7.68,7.16,7.41
pyrenees,DTM,N43PW002B,R_MAE,2.31,2.58,5.18,2.76,2.35,2.76
pyrenees,DTM,N43PW002C,R_MAE,2.32,2.36,5.52,2.74,2.3,2.73
norway,DTM,N59QE009G,R_MAE,2.54,2.67,4.48,4.71,3.79,4.64
norway,DTM,N59RE009G,R_MAE,1.97,2.16,3.51,3.72,3.07,3.7
norway,DTM,N59TE009G,R_MAE,1.74,2.11,3.76,2.81,2.35,2.76
brazil,DTM,S08PW038C,R_MAE,0.46,0.53,1.98,0.95,0.51,0.93
brazil,DTM,S08PW038D,R_MAE,1.05,0.76,2.39,1.75,1.08,1.75
brazil,DTM,S08QW038C,R_MAE,0.59,0.6,1.56,0.95,0.64,0.94
brazil,DTM,S08QW038D,R_MAE,0.37,0.43,1.77,0.71,0.43,0.7
la_palma,DSM,N28UW018B,R_MAE,1.37,1.32,2.58,2.45,1.75,2.35
la_palma,DSM,N28VW018B,R_MAE,2.67,2.54,4.05,3.64,3.16,3.69
la_palma,DSM,N28XW018A,R_MAE,3.8,2.38,5.13,4.73,4.4,4.94
la_palma,DSM,N28XW018B,R_MAE,7.39,4.25,8.41,8,7.58,7.73
pyrenees,DSM,N43PW002B,R_MAE,2.17,2.22,4.6,3.09,2.72,3.11
pyrenees,DSM,N43PW002C,R_MAE,2.05,2.11,4.87,3.03,2.73,3.05
norway,DSM,N59QE009G,R_MAE,2.76,2.04,4.32,4.58,3.62,4.52
norway,DSM,N59RE009G,R_MAE,2.33,1.73,3.56,4.08,3.31,4.06
norway,DSM,N59TE009G,R_MAE,2.02,1.6,3.47,3.45,2.84,3.42
brazil,DSM,S08PW038C,R_MAE,0.43,0.48,1.76,0.83,0.57,0.82
brazil,DSM,S08PW038D,R_MAE,1,0.7,2.3,1.69,1.08,1.7
brazil,DSM,S08QW038C,R_MAE,0.57,0.51,1.39,0.9,0.72,0.91
brazil,DSM,S08QW038D,R_MAE,0.33,0.42,1.72,0.69,0.44,0.68
la_palma,DTM,N28UW018B,R_LE90,3.17,2.73,5.97,5.56,3.33,5.3
la_palma,DTM,N28VW018B,R_LE90,5.9,5.93,9.43,8.16,6.5,8.24
la_palma,DTM,N28XW018A,R_LE90,8.61,4.68,11.14,9.98,9.31,10.2
la_palma,DTM,N28XW018B,R_LE90,18.54,10.09,19.07,18.73,18.46,17.71
pyrenees,DTM,N43PW002B,R_LE90,5.03,5.49,10.75,5.82,5.07,5.82
pyrenees,DTM,N43PW002C,R_LE90,5.03,5.1,11.49,5.83,4.99,5.81
norway,DTM,N59QE009G,R_LE90,5.73,5.91,9.71,10.32,8.4,10.1
norway,DTM,N59RE009G,R_LE90,4.43,4.8,7.52,8.02,6.7,7.92
norway,DTM,N59TE009G,R_LE90,3.99,4.86,7.79,6.15,5.16,6.05
brazil,DTM,S08PW038C,R_LE90,0.98,1.17,3.55,1.88,1.11,1.83
brazil,DTM,S08PW038D,R_LE90,2.41,1.71,4.5,3.69,2.5,3.73
brazil,DTM,S08QW038C,R_LE90,1.27,1.41,2.99,1.94,1.35,1.9
brazil,DTM,S08QW038D,R_LE90,0.8,0.97,3.19,1.46,0.92,1.43
la_palma,DSM,N28UW018B,R_LE90,2.95,2.7,5.49,5.27,3.78,5.15
la_palma,DSM,N28VW018B,R_LE90,5.78,5.72,9.55,8.29,6.64,8.32
la_palma,DSM,N28XW018A,R_LE90,8.71,4.68,11.07,10.12,9.63,10.44
la_palma,DSM,N28XW018B,R_LE90,19.77,10.38,20.05,19.58,19.68,18.49
pyrenees,DSM,N43PW002B,R_LE90,4.73,4.62,9.65,6.53,5.81,6.56
pyrenees,DSM,N43PW002C,R_LE90,4.42,4.47,10.29,6.44,5.83,6.48
norway,DSM,N59QE009G,R_LE90,6.29,4.58,9.51,9.95,7.94,9.81
norway,DSM,N59RE009G,R_LE90,5.13,3.84,7.77,8.61,6.97,8.54
norway,DSM,N59TE009G,R_LE90,4.48,3.57,7.49,7.23,5.92,7.17
brazil,DSM,S08PW038C,R_LE90,0.94,1.02,3.28,1.71,1.21,1.68
brazil,DSM,S08PW038D,R_LE90,2.41,1.61,4.44,3.7,2.54,3.75
brazil,DSM,S08QW038C,R_LE90,1.23,1.11,2.78,1.86,1.51,1.85
brazil,DSM,S08QW038D,R_LE90,0.72,0.93,3.13,1.42,0.93,1.38
