AREA,DEMIX_TILE,REF_TYPE,REF_SLOPE,CRITERION,FABDEM,COP,ALOS,NASA,SRTM,ASTER
la_palma,N28XW018B,DSM,ALL,ELD_LE90,41.57,40.47,19.59,48.64,49.71,55.01
la_palma,N28XW018B,DSM,STEEP,ELD_AVG,21.08,20.29,10.57,22.15,21.79,22.51
la_palma,N28XW018B,DSM,STEEP,ELD_STD,31.13,30.12,26.72,32.79,32,32.62
la_palma,N28XW018B,DSM,STEEP,ELD_RMSE,31.23,30.39,27.9,34.52,34.48,36.91
la_palma,N28XW018B,DSM,STEEP,ELD_MAE,21.55,19.95,11.66,22.08,22.43,24.85
la_palma,N28XW018B,DSM,STEEP,ELD_LE90,42.09,41.18,20.1,49.53,50.37,55.68
la_palma,N28XW018B,DSM,FLAT,ELD_AVG,8.44,6.74,4.06,8.41,8.64,9.9
la_palma,N28XW018B,DSM,FLAT,ELD_STD,15.39,14.24,12.34,16.25,16.18,17.54
la_palma,N28XW018B,DSM,FLAT,ELD_RMSE,17.07,14.35,13.7,16.41,16.75,18.35
la_palma,N28XW018B,DSM,FLAT,ELD_MAE,11.53,7.55,7.16,8.36,9.1,10.46
la_palma,N28XW018B,DSM,FLAT,ELD_LE90,22.97,15.51,9.83,19.32,19.74,23.13
la_palma,N28XW018B,DSM,URBAN,ELD_AVG,5.89,6.03,1.29,5.98,6.26,6.51
la_palma,N28XW018B,DSM,URBAN,ELD_STD,8.52,8.55,1.79,8.48,8.61,9.6
la_palma,N28XW018B,DSM,URBAN,ELD_RMSE,8.59,8.55,7.86,9.5,10.37,12.27
la_palma,N28XW018B,DSM,URBAN,ELD_MAE,6.44,6.28,7.69,6.01,7.06,8.25
la_palma,N28XW018B,DSM,URBAN,ELD_LE90,13.6,14.3,9.64,16.19,17.69,21.6
la_palma,N28XW018B,DSM,FOREST,ELD_AVG,18.63,18.05,9.86,19.45,19.32,20.47
la_palma,N28XW018B,DSM,FOREST,ELD_STD,27.29,26.52,25.61,28.65,28.19,29.18
la_palma,N28XW018B,DSM,FOREST,ELD_RMSE,27.81,26.59,26.71,29.73,29.97,32.71
