AREA,DEMIX_TILE,LAT,LONG,AVG_ELEV,AVG_SLOPE,AVG_ROUGH,RELIEF,FOREST_PC,URBAN_PC,REF_TYPE,LAND_TYPE,REC_ID,BEST_DEM,CRITERION,FABDEM,COP,ALOS,NASA,SRTM,ASTER
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,URBAN,678,FABDEM,ELD_RMSE,1.55,4.66,5.43,7.46,6.44,7.79
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,URBAN,678,FABDEM,ELD_MAE,1.23,3.4,4.02,6.66,5.58,6.79
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,URBAN,678,FABDEM,ELD_LE90,2.29,7.45,9,10.98,9.83,11.08
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,FOREST,677,FABDEM,ELD_AVG,2.21,4.68,5.34,2.54,2.53,3.53
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,FOREST,677,NASA,ELD_STD,3.31,5.34,5.97,3.24,3.24,4.56
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,FOREST,677,FABDEM,ELD_RMSE,3.92,9.47,10.59,8.03,7.35,10.09
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,FOREST,677,FABDEM,ELD_MAE,2.35,7.91,8.81,7.4,6.68,9
charleston,N32YW080C,32.85,-79.75,1.31,0.84,0.54,14.18,26.94,6.91,DTM,FOREST,677,FABDEM,ELD_LE90,5.71,14.66,16.54,11.33,10.59,15.07
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,ALL,51,ALOS,ELD_AVG,4.4,4.4,1.56,4.86,4.87,6.29
almeria,N36ZW002A,36.95,-1.95,108.15,19.59,8.29,305.66,0.25,1.85,DTM,ALL,51,ALOS,ELD_STD,6.45,6.33,3.09,7.03,7.07,8.62
